plant_id,disease,signal,product,material_id,current_inventory,old_inventory,restock,name,material
4466,Zinc Deficiency,0.23,Nayazincplus,SKU Not Available,0.0,0.0,1,4466 Rahim Yar Khan,SKU Not Available
4465,Helicoverpa Caterpillar,0.02,Match,SKU Not Available,0.0,0.0,1,4465 Lahore,SKU Not Available
4463,Cotton Leafhopper Jassids,0.04,Cruiser,76440,432.0,432.0,0,4463 Hyderabad,CRUISER 20x100 ML PKA
4463,Cotton Leafhopper Jassids,0.04,Knockout,SKU Not Available,0.0,0.0,1,4463 Hyderabad,SKU Not Available
4465,Pink Bollworm,0.04,Ampligo,SKU Not Available,0.0,0.0,1,4465 Lahore,SKU Not Available
4465,Pink Bollworm,0.04,Polytrinc,SKU Not Available,0.0,0.0,1,4465 Lahore,SKU Not Available
4462,Nitrogen Deficiency,0.08,Promix,65269,660.0,660.0,0,4462 Multan,PROMIX 12X1 L PKA
4475,Thrips,0.04,Solvigo,SKU Not Available,0.0,0.0,1,4475 Peshawar,SKU Not Available
4462,Whiteflies,0.23,Polo,SKU Not Available,0.0,0.0,1,4462 Multan,SKU Not Available
4462,Whiteflies,0.23,Pyriproxifyn,SKU Not Available,0.0,0.0,1,4462 Multan,SKU Not Available
4462,Whiteflies,0.23,Elestal neo,70029,3058.0,3058.0,0,4462 Multan,ELESTAL NEO 20x100 G PKA
4464,Mealybug,0.03,Curacron,SKU Not Available,0.0,0.0,1,4464 Vehari,SKU Not Available
4468,Cotton Leafhopper Jassids,0.15,Cruiser,76440,1930.0,1930.0,0,4468 Sahiwal,CRUISER 20x100 ML PKA
4468,Cotton Leafhopper Jassids,0.15,Knockout,SKU Not Available,0.0,0.0,1,4468 Sahiwal,SKU Not Available
4466,Thrips,0.08,Solvigo,SKU Not Available,0.0,0.0,1,4466 Rahim Yar Khan,SKU Not Available
4475,Nitrogen Deficiency,0.12,Promix,65269,120.0,120.0,0,4475 Peshawar,PROMIX 12X1 L PKA
4475,Nitrogen Deficiency,0.12,Naya npk,SKU Not Available,0.0,0.0,1,4475 Peshawar,SKU Not Available
4465,Mealybug,0.04,Curacron,SKU Not Available,0.0,0.0,1,4465 Lahore,SKU Not Available
4463,Herbicide Growth Damage,0.1,Quantis,63662,6345.0,6345.0,0,4463 Hyderabad,QUANTIS 12X800 ML PKA
4463,Herbicide Growth Damage,0.1,Isabion,58301,2320.0,2320.0,0,4463 Hyderabad,ISABION 20X400 ML PKA
4463,Herbicide Growth Damage,0.1,Isabion,58302,12297.0,12297.0,0,4463 Hyderabad,ISABION 12X800 ML PKA
4463,Herbicide Growth Damage,0.1,Isabion,80279,0.0,0.0,1,4463 Hyderabad,ISABION 12x1000 ML PKA
4463,Herbicide Growth Damage,0.1,Isabion,80280,0.0,0.0,1,4463 Hyderabad,ISABION 20x500 ML PKA
4478,Nitrogen Deficiency,0.07,Promix,65269,0.0,0.0,1,4478 Multan,PROMIX 12X1 L PKA
4478,Cotton Leafhopper Jassids,0.13,Cruiser,76440,0.0,0.0,1,4478 Multan,CRUISER 20x100 ML PKA
4478,Cotton Leafhopper Jassids,0.13,Knockout,SKU Not Available,0.0,0.0,1,4478 Multan,SKU Not Available
